lead_id,company,contact_name,contact_role,opportunity_type,job_title,source,source_url,company_website,contact_email,location,job_type,status,date_found,last_checked,notes,duplicate_key
GHL-0011,"Unknown (UK learner-recruitment company, PeoplePerHour client)",,,freelance project,GoHighLevel Workflow & Landing Page Build,PeoplePerHour,https://www.peopleperhour.com/freelance-jobs/artificial-intelligence/artificial-intelligence-integration/gohighlevel-workflow-landing-page-build-4414166,,,"England, UK (per project description)",Freelance/short-term project,EXPIRED,2026-09-20,2026-09-21,"Per search-indexed listing content: UK-based learner-recruitment campaign needs a GHL workflow (lead nurturing, inactive-lead handling, automated nurture for course-start waitlist) plus a GHL landing page fed by Meta Ads, with form/tag/trigger/pipeline integration and a walkthrough video; stated turnaround 2-4 days from acceptance, which suggests the post is recent/live. Directly matches user's workflows, landing pages, forms, and lead-nurturing skills. www.peopleperhour.com is blocked to automated fetch in this environment, so the live page (budget, exact post date, open/closed status) could not be verified directly - based on web-search indexing only. STATUS UPDATE 2026-09-21: a third-party job aggregator (Adzuna) indexing this same PeoplePerHour listing shows it was originally posted in August 2025 - over 13 months old, not a recent/live post as the short stated turnaround misleadingly suggested. Reclassified from WARM to EXPIRED per the freshness rule (never present an expired job as current); kept in database as historical record rather than deleted.",unknown uk learner-recruitment company (peopleperhour client)|gohighlevel workflow & landing page build|peopleperhour
GHL-0012,"Unknown (security-industry company, PeoplePerHour client)",,,freelance project,GoHighLevel Expert Needed to Set Up 3 Snapshots,PeoplePerHour,https://www.peopleperhour.com/freelance-jobs/design/web-design/gohighlevel-expert-needed-to-set-up-3-snapshots-4424814,,,Unknown,Freelance/project,EXPIRED,2026-09-20,2026-09-21,"Per search-indexed listing content: a security-industry company wants 3 GoHighLevel snapshots built (pipelines, funnels, workflows, forms, basic automations), structured for the client's team to duplicate/reuse; asks applicants for prior snapshot examples and pricing/timeline. Directly matches user's GHL snapshots skill. www.peopleperhour.com is blocked to automated fetch in this environment, so the live page (budget, exact post date, open/closed status) could not be verified directly - based on web-search indexing only. STATUS UPDATE 2026-09-21: search-indexed metadata for this listing shows an actual post date of September 9, 2025 - over 12 months old. Reclassified from WARM to EXPIRED per the freshness rule; kept as historical record rather than deleted.",unknown security-industry company (peopleperhour client)|gohighlevel expert needed to set up 3 snapshots|peopleperhour
GHL-0013,Unknown (Freelancer.com client),,,freelance project,GoHighLevel B2B Lead Funnel,Freelancer.com,https://www.freelancer.com/projects/go-high-level/gohighlevel-lead-funnel,,,Unknown,Freelance/project,EXPIRED,2026-09-20,2026-09-21,"Per search-indexed listing content: client wants a GHL B2B lead funnel - landing page, opt-in form, thank-you page, pipeline automation, and email/text sequences capturing name/email/company/job title/phone, with lead tagging for segmentation and conditional follow-up delays based on job title (e.g. faster sequence for C-suite). Directly matches user's funnels, pipelines, and workflow-automation skills. www.freelancer.com is blocked to automated fetch in this environment, so the live listing (budget, exact post date, open/closed status, client identity) could not be verified directly - based on web-search indexing only. STATUS UPDATE 2026-09-21: search-indexed metadata shows this project was posted April 27, 2026 - about 5 months old. Freelancer.com fixed-price/project listings of this type typically close within days to weeks of posting, so an opportunity still open 5 months later is highly unlikely. Reclassified from POTENTIAL to EXPIRED per the freshness/active-verification rules; kept as historical record rather than deleted.",unknown freelancer.com client|gohighlevel b2b lead funnel|freelancer.com
GHL-0014,UGCMA,,,job,IT and Automations Specialist,Wellfound,https://wellfound.com/jobs/4523989-it-and-automations-specialist,Unknown,,Remote (Wyoming-registered company; listing explicitly states remote-only),Full-time,HOT,2026-09-21,2026-09-21,"Role monitors and maintains core business platforms including GoHighLevel and Close CRM (both explicitly in the user's skill profile), plus OnceHub, ClickUp, an LMS, and payment systems; resolves technical issues across Sales/Marketing/Delivery/Customer Service, manages access provisioning, and maintains automations/integrations - roughly 40-60% of the role is a primary 'build track' tied to a Q3 2026 roadmap. Requires 2 years of experience. Search-indexed metadata shows this was posted approximately 4 days before this research session (~2026-09-17), making it one of the freshest leads found this session. Salary is listed as $20k-$24k/year, which is low for a full-time US role - flag this for the user's own judgment on whether pay is acceptable. wellfound.com is blocked to automated fetch in this environment, so the live posting could not be opened directly - based on web-search indexing only. Verify directly on Wellfound before applying.",ugcma|it and automations specialist|wellfound
GHL-0015,Grant Cardone Enterprises,,,job,GoHighLevel Specialist,"Glassdoor (also cross-posted on LinkedIn, Indeed, and JobTarget)","https://www.glassdoor.com/job-listing/gohighlevel-specialist-grant-cardone-enterprises-JV_IC1166089_KO0,22_KE23,48.htm?jl=1010142336787",https://www.grantcardone.com,careers@grantcardone.com,"Aventura, FL (remote/on-site not explicitly confirmed - verify before applying)",Full-time,WARM,2026-09-21,2026-09-25,"Grant Cardone Enterprises (well-known sales training/business coaching company) is hiring a GoHighLevel Specialist to run its white-labeled GHL platform ('OMNI'), keeping OMNI sub-accounts for its 10X Business Coaches ready to launch with proven funnels, CRM workflows, and automations - a direct match to the user's GHL agency/client account management and workflow skills. Salary range reported as $80K-$100K/year. Originally posted approximately August 4, 2026 (~48 days old at time of research, outside the tightest freshness window), but the listing continues to appear as current across multiple job boards (LinkedIn, Glassdoor, Indeed, JobTarget) as of a September 9, 2026 hiring-activity snapshot showing Grant Cardone Enterprises with 23 open roles, suggesting the role remains open/reposted rather than stale. Public application path confirmed: email resume to careers@grantcardone.com with job title and source in the subject line. glassdoor.com and grantcardone.com are blocked to automated fetch in this environment, so the live posting could not be opened directly - based on web-search indexing only. Verify current status and remote/on-site requirement directly before applying. Re-checked 2026-09-25: a distinct, newer LinkedIn job ID (4448618735) for the same 'GoHighLevel Specialist' role at Grant Cardone Enterprises in Aventura, FL was found, and the company now shows 29 open positions (up from 23 on Sep 9), both signals indicating the role has been reposted/remains actively hired for rather than stale. Still WARM pending direct verification of exact current status.",grant cardone enterprises|gohighlevel specialist|glassdoor
GHL-0016,Honeytree Technologies (Honeytree Agency),,,job,GoHighLevel Specialist,Glassdoor (also cross-posted on Indeed),"https://www.glassdoor.com/job-listing/gohighlevel-specialist-honeytree-technologies-JV_KO0,22_KE23,45.htm?jl=1009794172264",honeytree.agency (unverified - direct fetch blocked in this environment),careers@honeytree.agency,Remote (United States),Unknown,WARM,2026-09-21,2026-09-21,"Honeytree is described as a boutique digital marketing agency; role is to architect, build, and optimize GHL systems from lead gen through nurture flows for client accounts. Requires 2-4 years hands-on GoHighLevel experience including funnel builds, automation logic, CRM management, and campaign optimization, plus working knowledge of WordPress - directly matches the user's GHL funnels/workflows/CRM skills (WordPress is outside the documented skill profile - flag for the user's own assessment of fit). Public application path confirmed: apply via Indeed or email resume plus samples of past HighLevel builds to careers@honeytree.agency, subject line 'GoHighLevel Specialist - [Your Name]'. Exact posting date and open/closed status not confirmed - glassdoor.com and honeytree.agency are blocked to automated fetch in this environment, based on web-search indexing only. Verify directly before applying.",honeytree technologies|gohighlevel specialist|glassdoor
GHL-0017,Couture Clean New York,,,job,"GoHighLevel Specialist – Part-Time, On-Site",Indeed,https://to.indeed.com/aa6gym8w6zf4,Unknown,,"New York, NY - ON-SITE ONLY, explicitly stated as not remote (approx. 8-10 hrs/week in person)",Part-time,WARM,2026-09-21,2026-09-21,"Fully verified via Indeed's job-details API (full description retrieved, not just a snippet). NYC-based cleaning-services business needs a hands-on GHL specialist to build/manage/improve CRM and automation systems: workflows, pipelines, opportunities, forms/surveys/calendars, SMS/email follow-up sequences, third-party integrations, and webhook/trigger troubleshooting - a strong direct match to the user's core GHL skill set. Pay $30-$40/hr. Posted September 8, 2026 (13 days old at time of research - within the freshness window). IMPORTANT: listing explicitly states 'This is an on-site position in New York City and is not remote' - only relevant if the user is able to work in person in NYC; flagged here rather than excluded so the user can make that call themselves.","couture clean new york|gohighlevel specialist – part-time, on-site|indeed"
GHL-0018,Sphere Rocket VA,,,agency fulfillment / VA talent-pool placement,GoHighLevel (GHL) Web & Funnel Specialist,Company career page,https://www.careers-page.com/sphererocketva/job/QXRV3YRY,https://www.spherejobs.ph,,Remote/WFH (Sphere Rocket VA is Philippines-based and connects VAs to US-based business owners; 8-hour shift),Full-time,POTENTIAL,2026-09-21,2026-09-21,"Sphere Rocket VA is a VA-connection/talent-pool platform, not a single direct employer - applicants join a talent pool to be matched with GHL work submitted by US-based web/funnel design business owners (same category of lead as EverestX/GHL-0009, i.e. a recurring source to monitor rather than an application-ready single opening). Role: design, optimize, and automate GHL workflows, funnels, and client onboarding; requires 2+ years GHL experience, strong CRM/sales-funnel understanding, and integration/troubleshooting skills - matches the user's core GHL skill set. Pay reported as PHP 50,000-200,000/month (~US $900-3,600), which is a wide range - vet actual terms before pursuing. careers-page.com and spherejobs.ph are blocked to automated fetch in this environment, so exact current openings could not be confirmed directly - based on web-search indexing only.",sphere rocket va|gohighlevel (ghl) web & funnel specialist|company website
GHL-0019,The Plum Tree Group,,,job,GoHighLevel Expert,Built In,https://builtin.com/job/gohighlevel-expert/2976117,https://plumtreegroup.jazz.co,,Unknown - remote status and country eligibility not confirmed,Unknown,POTENTIAL,2026-09-22,2026-09-22,"Distinct posting (unique Built In URL/ID) at The Plum Tree Group, an established Chicago-based interactive agency (~93 employees, serving clients since 2006) that is currently running several concurrent GoHighLevel-related listings - see COMP-0018. ACTIVE_UNCERTAIN: builtin.com is blocked to automated fetch in this environment, and repeated web searches for this specific listing's description kept surfacing/blending content from the company's other job postings (Marketing Specialist, Demo Specialist) rather than a clean, distinguishing description for this exact role - so job type, salary, exact requirements, location, and posted date could not be independently confirmed. The title alone ('GoHighLevel Expert') is a strong direct keyword match to the user's core skill set. Needs manual verification directly on Built In or the company's career page before outreach; do not treat as a confirmed active opening until verified.",the plum tree group|gohighlevel expert|built in
GHL-0020,The FM Shift,,,Direct client - full-time in-house specialist,GoHighLevel / Funnel / Marketing Tech Specialist,SimplyHired,https://www.simplyhired.com/job/BDCNHSYBq7v8U6nzQ5NTekgqoen9lBIyK6_kz0q5cGmeJtFYzdHgZg,Unknown - could not independently verify beyond the employer name shown on SimplyHired,,Remote,Full-time,HOT,2026-09-23,2026-09-23,"Direct employer (not a staffing/marketplace listing) seeking someone to own and optimize GoHighLevel workflows, automations, pipelines, calendars, tags, custom fields, forms, surveys, triggers, opportunities, and overall CRM structure - plus building/testing registration flows, appointment booking sequences, reminder/no-show/rebooking automations, and sales follow-up/post-event SMS and email automations. This is a strong direct match to the user's core GHL workflows/pipelines/forms/SMS-email-automation skill set, described explicitly as not a basic admin role but an end-to-end owner of these systems. Salary $55,000-$65,000/year, full-time, remote, mid-level. Per web-search snippet, posted approximately 6 days before this research session (~2026-09-17), making it one of the freshest leads found this session. Could not independently confirm the employer's own website/industry. simplyhired.com was not directly fetched in this environment (other job-board domains such as glassdoor.com, wellfound.com, and careers-page.com have been consistently blocked by this environment's network egress proxy in prior sessions) - this lead is based on web-search snippet indexing, not a live page fetch. Verify current open status and full JD directly on SimplyHired before applying.",the fm shift|gohighlevel / funnel / marketing tech specialist|simplyhired
GHL-0021,Gentask Virtual Assistance Services,,,agency fulfillment / VA staffing placement,"GoHighLevel Specialist (US, Canada, Australia and UK base)",Company career page (careers-page.com),https://www.careers-page.com/gentask-virtual-assistance-services/job/LR574R66,Unknown,,"Remote (candidates based in US, Canada, Australia, or UK)",Unknown,POTENTIAL,2026-09-23,2026-09-23,"Gentask is a virtual-assistance staffing company; role covers providing expert client support/guidance on GoHighLevel, setting up and optimizing client GHL accounts (automations, pipelines, integrations), ongoing troubleshooting, and staying current on GHL features - matches the user's core GHL setup/workflow/troubleshooting skills. Gentask shows multiple concurrent GHL-related postings across job boards (e.g. 'GHL Expert & Notion Workflow Specialist', 'Marketing Specialist (with GoHighLevel Experience)', 'Go HighLevel CRM Manager & Funnel Specialist'), the same recurring-source pattern already documented for BruntWork/EverestX/Sphere Rocket VA - treat as a source to monitor rather than a single verified opening. This role is distinct from a different Gentask posting ('Instagram Prospecting & GoHighLevel Messaging Specialist', $5/hr) that was investigated and excluded in SEARCH-0004 as a skill mismatch - not a duplicate of that exclusion. No verified pay or posting date found; careers-page.com has been consistently blocked to automated fetch in this environment in prior sessions (same restriction documented for GHL-0018/Sphere Rocket VA) - based on web-search snippet indexing only. Verify directly before applying.","gentask virtual assistance services|gohighlevel specialist (us, canada, australia and uk base)|company career page"
GHL-0022,Human Intelligence,,,job,"GoHighLevel Automation Specialist | CRM, Funnels & AI Systems",Workable (company career page),https://apply.workable.com/humanintelligence/j/E08961ABAC/,Unknown - not independently confirmed beyond the Workable listing,,Remote (no explicit country/geographic restriction found; company describes itself as expanding globally),Unknown,POTENTIAL,2026-09-24,2026-09-24,"Direct employer role to design, build, test, deploy, document, and optimize GoHighLevel automation systems across Marketing, Sales, Customer Success, Events, Partnerships, Recruitment, and Customer Education - directly matches the user's GHL workflows/automation skill set, plus mentions Zapier/n8n/AI tooling (n8n and AI are adjacent to, not core to, the documented skill profile - flag for the user's own assessment). Listing explicitly states this is not a traditional CRM administrator role but wants a 'CRM architect,' with career growth toward Senior Automation Architect / AI Solutions Architect tracks - the scope may run more senior/architectural than the user's documented experience level. Salary reported as $1,000-$1,500/month, which is low for the stated scope. Per search-indexed metadata, originally posted July 30, 2026 (~56 days old at time of this research - outside the tightest freshness window, but still actively surfaced in current search results with no evidence of closure). apply.workable.com is blocked to automated fetch in this environment, so the live posting, exact location requirements, and current open/closed status could not be independently verified - based on web-search indexing only. Verify directly before applying.","human intelligence|gohighlevel automation specialist | crm, funnels & ai systems|workable"
GHL-0023,Near (Hire with Near),,,staffing agency placement,GoHighLevel Automation Specialist (Part-Time),LinkedIn,https://www.linkedin.com/jobs/view/gohighlevel-automation-specialist-part-time-at-hire-with-near-4417766091,Unknown,,Unknown,Part-time,POTENTIAL,2026-09-24,2026-09-24,"Near ('Hire with Near') is a remote-staffing/recruiting platform (same category as Paired/Jobgether/BruntWork) posting a part-time GoHighLevel Automation Specialist role for an undisclosed client - direct keyword match to the user's core GHL automation skill set. Per search-indexed metadata, listing appears to have been posted approximately 1 month before this research session. linkedin.com is blocked to automated fetch in this environment, so the live posting, client identity, pay, and exact current status could not be independently verified - based on web-search snippet indexing only. Needs manual verification before outreach.",near (hire with near)|gohighlevel automation specialist (part-time)|linkedin
GHL-0024,Inbound Lever,,,Direct client - agency employer,GoHighLevel Specialist,Company career page,https://inboundlever.com/join-our-team-ghl-specialist/,https://inboundlever.com,,Remote (anywhere; company describes itself as U.S.-based),"Part-time, hourly, contract",WARM,2026-09-25,2026-09-25,"Inbound Lever is a small US-based marketing/website-development agency serving luxury home-service pros, outdoor contractors, and specialized verticals including legal tech and niche SaaS. Its own careers page has a standing listing for a GoHighLevel Specialist to own setup, management, and optimization of company and client GHL accounts: funnels, automations, campaigns, pipelines, triggers, and reporting - a strong direct match to the user's core GHL funnels/workflows/automation skill set. Requires 2+ years GHL or similar CRM/automation experience. Direct company career page (not a marketplace/staffing platform), which is a stronger legitimacy signal than an undisclosed-client listing. inboundlever.com is blocked to automated fetch in this environment (WebFetch confirmed blocked for effectively all external domains this session, including control tests against wikipedia.org), so page content is based on web-search snippet indexing only, and no specific posted date is available - career-page listings of this type often stay posted on an ongoing/rolling basis rather than carrying a discrete post date, similar to EverestX/GHL-0009 and Sphere Rocket VA/GHL-0018. Verify current status directly before applying.",inbound lever|gohighlevel specialist|company career page
GHL-0025,IDEAHUB IT Solutions Provider Inc.,,,job,GoHighLevel (GHL) Expert - Remote,Glassdoor,"https://www.glassdoor.com/job-listing/gohighlevel-ghl-expert-%E2%80%93-remote-ideahub-JV_KO0,31_KE32,39.htm?jl=1009619387837",Unknown,,Remote,Full-time / Part-time,POTENTIAL,2026-09-25,2026-09-25,"ACTIVE_UNCERTAIN: role covers setting up, customizing, and managing GoHighLevel accounts; developing/optimizing CRM systems; email/SMS campaigns; funnels, websites, surveys, forms, and appointment setup; technical support/troubleshooting; and third-party/API integrations - a thorough direct match to the user's core GHL skill set. Pay quoted as $10-12/hour, which is low for the scope described - flag for the user's own judgment. IDEAHUB has positive employee reviews on Indeed (described as supportive/collaborative), a mild positive signal on legitimacy, but no independent confirmation of the GHL-agency side of the business was found. No posting date could be found via web search, and glassdoor.com is blocked to automated fetch in this environment - based on search-snippet indexing only. Verify current status, exact company identity/website, and pay terms directly before applying.",ideahub it solutions provider inc.|gohighlevel (ghl) expert - remote|glassdoor
GHL-0026,SUPERVA (VA staffing platform),,,agency fulfillment / VA staffing placement,GoHighLevel Expert (Part-Time),Glassdoor,"https://www.glassdoor.com/job-listing/gohighlevel-expert-part-time-superva-JV_KO0,28_KE29,36.htm?jl=1009744701611",https://superva.io,,Unknown,Part-time,POTENTIAL,2026-09-25,2026-09-25,"SUPERVA is a virtual-assistant remote-job marketplace/portal connecting startups, agencies, and enterprises with VAs from 50+ countries - not a single direct employer, same recurring-source category as EverestX/GHL-0009, Sphere Rocket VA/GHL-0018, and Gentask/GHL-0021. Only the job title ('GoHighLevel Expert, Part-Time') was confirmed via search; no description, pay, location, or posted date could be retrieved - glassdoor.com is blocked to automated fetch in this environment. ACTIVE_UNCERTAIN and thin on verifiable detail; logged as a source to monitor rather than an application-ready opening. Needs manual verification before outreach.",superva (va staffing platform)|gohighlevel expert (part-time)|glassdoor
GHL-0027,Scale Army Careers,,,staffing agency placement,GoHighLevel Specialist,Remotive,https://remotive.com/remote/jobs/marketing/gohighlevel-specialist-5773829,https://scalearmy.com,,"Remote (candidates based in LATAM, Africa, or Eastern Europe, must work U.S. business hours)",Contract,WARM,2026-09-26,2026-09-26,"Scale Army Careers is a global staffing agency for marketing/sales roles; the underlying client is a marketing company helping home-service businesses generate/convert leads via digital advertising, marketing automation, and CRM workflows. Role covers configuring, maintaining, and troubleshooting GHL environments, CRM workflows, and marketing automation systems, working across GoHighLevel, WordPress, and Zapier - a strong direct match to the user's core GHL/Zapier/automation skill set. Pay $1,200-$1,500/month. Per search-indexed metadata, posted approximately 2 weeks before this research session. IMPORTANT geographic restriction: listing explicitly limits eligibility to candidates based in LATAM, Africa, or Eastern Europe working U.S. business hours - only relevant if the user is located in one of those regions; flagged here per the master instructions' rule not to assume eligibility for a geographically restricted opportunity. Application requires a written application plus a skills-demonstration video. remotive.com is blocked to automated fetch in this environment (confirmed again this session, including a Wikipedia control test), so page content is based on web-search indexing only - verify directly before applying.",scale army careers|gohighlevel specialist|remotive
